1_elevation,1_slope,1_aspect,1_placurv,1_procurv,1_lsfactor,1_twi,1_geology,1_sdoif,Label
130,35.26439,98.1301,0.03851364,0.01390274,8.045186,3.17334,3,1.281767,0
161,32.31153,198.435,0.007029638,-0.012546,9.089893,4.396348,3,1.359568,1
149,42.67464,310.6013,0.007581498,-0.01585664,12.11522,3.91202,2,1.365062,0
80,19.82703,213.6901,0.03352897,0.01888436,3.416162,3.021531,2,1.100921,0
117,32.63194,128.6598,0.005615213,-9.82E-05,7.740312,3.523277,2,1.284558,0
308,38.87666,60.25512,-0.0772173,-0.04691845,10.68951,3.920177,3,1.326038,1
130,21.80141,270,0.03131253,0.01825901,3.823938,2.874578,1,1.321719,0
141,32.63194,218.6598,0.01943094,0.01917135,8.210629,3.818215,1,1.288071,0
100,22.40687,14.03624,0.01387209,0.002670266,9.165816,7.063412,5,1.303054,0
141,28.3032,248.1986,-0.03955777,-0.02388827,9.306929,5.454319,3,1.299218,0
142,35.79576,56.30993,0.003918788,0.009873936,9.089161,3.679353,2,1.296484,0
363,21.80141,180,-0.03480579,0.001678345,6.769872,5.747864,5,1.32403,0
45,27.01712,258.6901,-0.005023885,-0.008782878,7.737982,4.864251,2,1.349167,0
28,26.56505,53.1301,0.04207345,0.01033698,5.48345,3.263401,2,1.351427,1
509,32.63194,231.3402,-0.009843664,-0.02050546,13.57905,6.333707,5,1.316065,1
297,42.67464,220.6013,-0.03615705,-0.00798113,13.79606,4.561621,3,1.280773,1
260,19.82703,56.30993,-0.00531518,-0.01124,6.02654,5.859808,3,1.339817,0
60,15.79317,45,0.04708971,0.03847669,2.368262,2.863295,2,1.254862,0
693,35.26439,171.8699,-0.09645471,0.002655884,19.61014,7.628204,3,1.334389,0
498,32.31153,198.435,0.01666497,-0.002873467,8.587406,4.112016,3,1.36535,0
91,17.5484,341.5651,0.007754765,0.008797969,4.069851,4.793391,5,1.358801,0
312,33.85452,243.435,-0.02573992,-0.01563459,9.665448,4.37568,3,1.310303,1
225,12.60438,206.565,-0.008448965,0.02500536,3.276231,4.065363,5,1.307174,1
17,5.710593,180,0.000559689,-0.000355374,0.002796939,7.921615,5,1.30754,0
87,19.82703,123.6901,-0.03352302,-0.007874073,5.975577,5.817347,2,1.347558,0
219,22.98977,45,-0.05311898,-0.02412223,6.145379,4.881533,3,1.295742,1
93,34.99202,270,-0.02474477,0.00267568,17.99224,7.251696,3,1.29463,0
112,40.51059,110.556,-0.02047918,-0.01262507,12.19331,4.296904,3,1.321795,0
181,43.49152,108.435,-0.01486451,-0.007204579,11.6274,3.578855,3,1.332921,1
163,37.99073,230.1944,-0.001705503,0.00722186,9.12756,3.288771,3,1.318581,1
195,12.60438,243.435,-0.01427281,-0.0188766,2.550333,4.904591,2,1.199878,0
469,29.49621,45,0.01969268,0.005138864,6.332813,3.234812,3,1.286446,0
45,21.80141,270,0.00861269,-0.01412783,4.910785,4.142622,2,1.277208,0
150,39.50971,75.96375,0.02910408,0.003996511,10.11521,3.533424,2,1.279453,1
114,30.24626,300.9637,0.008612284,-0.003095926,7.438491,3.86096,3,1.362811,1
185,24.09484,63.43495,-0.006960676,-0.01234963,9.155798,6.530781,5,1.297634,0
23,11.30993,180,0.04372331,0.03898604,2.546551,5.702857,3,1.30556,0
576,28.3032,111.8014,0.01390801,0.02448555,6.746617,2.890424,3,1.329757,0
57,30.24626,59.03624,0.01134733,0.00244539,7.47376,3.884611,3,1.294364,1
163,30.24626,120.9638,-0.000107927,0.005624285,8.38993,4.46278,3,1.353645,1
305,40.31554,135,-0.01255737,-0.01778443,9.448799,3.05479,5,1.309516,1
331,32.63194,51.34019,-0.02642071,-0.01495624,9.968509,4.788222,3,1.362921,1
225,16.69924,180,0.02638216,0.01223722,4.470819,5.62864,5,1.317236,0
16,31.31116,350.5377,-0.007317712,-0.03977595,9.133446,4.642204,7,1.299874,0
603,27.01712,348.6901,-0.02969333,-0.0199551,7.463743,4.683832,5,1.325395,0
415,47.12401,248.1986,0.02845574,0.007401198,12.26647,3.311532,3,1.332867,0
80,32.63194,308.6598,0.02279866,0.004786181,7.863582,3.602278,3,1.276861,0
900,35.26439,351.8699,0.006193144,0.01312814,8.607692,3.511252,4,1.320001,0
84,26.56505,180,-0.02861723,-0.01828097,25.82715,11.01186,3,1.306051,1
235,40.70319,215.5377,0.01818628,0.01487402,11.53829,3.988534,3,1.322919,0
298,32.31153,71.56505,0.001377563,0.004135132,8.898517,4.289955,3,1.306696,0
28,35.79576,123.6901,0.04483343,-0.0147196,8.562142,3.380692,2,1.328986,0
461,40.51059,200.556,0.05706055,0.03673584,8.673021,2.593553,3,1.31237,1
305,38.87666,352.875,0.001990126,-0.01578163,10.68218,3.916748,3,1.314796,0
105,26.56505,36.8699,-0.008468022,-0.002570187,7.19463,4.621402,2,1.117746,0
218,24.09484,153.435,-0.01912851,-0.000179355,6.48155,4.803643,3,1.304227,1
114,37.29208,336.8014,-0.007992908,-0.01402736,9.522807,4.307498,1,1.277695,1
157,31.31116,9.462322,-0.0027758,0.01377189,9.583047,4.882467,3,1.337753,0
190,28.3032,158.1986,0.02249067,0.01612994,6.518273,3.673571,2,1.283755,0
